Vec 1,Vec 2,Subj Det,Reduce Dim,Two Stage F1,Multinomial F1,SVC F1,Two Stage Elaps,Multinomial Elaps,SVC Elaps
diffposneg,count,aggregate,True,0.52,0.518,0.906,1m:0s,0m:37s,0m:22s
diffposneg,count,aggregate,False,0.731,0.52,0.731,4m:12s,0m:33s,22m:22s
diffposneg,count,filter,True,0.519,0.525,0.887,0m:21s,0m:27s,0m:5s
diffposneg,count,filter,False,0.75,0.523,0.75,90m:15s,0m:50s,21m:52s
diffposneg,tfidf,aggregate,True,0.49,0.523,0.9,0m:43s,0m:24s,0m:19s
diffposneg,tfidf,aggregate,False,0.829,0.522,0.829,2m:47s,0m:25s,2m:22s
diffposneg,tfidf,filter,True,0.5,0.511,0.896,0m:21s,0m:27s,0m:5s
diffposneg,tfidf,filter,False,0.866,0.523,0.866,2m:34s,0m:31s,2m:14s
count,tfidf,aggregate,True,0.814,0.814,0.898,0m:9s,0m:11s,0m:25s
count,tfidf,aggregate,False,0.812,0.814,0.829,0m:10s,0m:9s,6m:32s
count,tfidf,filter,True,0.845,0.845,0.896,0m:6s,0m:37s,0m:7s
count,tfidf,filter,False,0.85,0.845,0.866,0m:5s,0m:20s,1m:47s
